0,1,2
V_max=,m/s,2.956037830306398
"m_dot_avg =,","kg/s,",0.035287181
"m_dot_max =,","kg/s,",0.2286819943257143
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.6667696320327056
V_max=,m/s,3.468223204617553
"m_dot_avg =,","kg/s,",0.019057718
"m_dot_max =,","kg/s,",0.33872969389380536
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.7253134624874876
V_max=,m/s,2.9746125649833024
"m_dot_avg =,","kg/s,",0.017297253
"m_dot_max =,","kg/s,",0.26616489990344827
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,1.0388614624095178
V_max=,m/s,2.9559293673709255
"m_dot_avg =,","kg/s,",0.020445202
"m_dot_max =,","kg/s,",0.22950850186781607
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.5708388859447344
V_max=,m/s,1.3252703321087025
"m_dot_avg =,","kg/s,",0.044296505
"m_dot_max =,","kg/s,",0.3549109704128441
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.679025310300696
V_max=,m/s,1.4565901457558919
"m_dot_avg =,","kg/s,",0.02098819
"m_dot_max =,","kg/s,",0.31037101860629934
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.5
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,1.0133910566239528
V_max=,m/s,3.164949085343374
"m_dot_avg =,","kg/s,",0.011009104
"m_dot_max =,","kg/s,",0.22835449425714285
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.5989515278718239
V_max=,m/s,1.7138578199088224
"m_dot_avg =,","kg/s,",0.021458544
"m_dot_max =,","kg/s,",0.3391864580267857
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 1000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.7388921888648402
V_max=,m/s,2.819502617068972
"m_dot_avg =,","kg/s,",0.018583176
"m_dot_max =,","kg/s,",0.3027009623384615
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.9
input 2,  des_en_input(1)           , 10000
input 3,  kt_fac                    , 0.9
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.005
V_avg =,m/s,0.971313694919644
V_max=,m/s,3.584453787997892
"m_dot_avg =,","kg/s,",0.020406715
"m_dot_max =,","kg/s,",0.22747317112068965
input 0,  des_en_input(1)           , 0.1
input 1,  des_etat_fac              , 0.1
input 2,  des_en_input(1)           , 100
input 3,  kt_fac                    , 0.1
input 4,  mew                       , 0.1
input 5,  mew_r                     , 0.009
V_avg =,m/s,0.5938875056655928
V_max=,m/s,2.2859689812695803
